test	taille	tri	tableau	exe	exectime	memory
146	2793000	insertion	croissant	nonOpti	0.09 23056
144	5861000	insertion	croissant	opti	0.16 47008
146	2793000	insertion	croissant	opti	0.07 23008
144	5861000	insertion	croissant	nonOpti	0.20 47024
138	15997000	insertion	croissant	nonOpti	0.54 126160
138	15997000	insertion	croissant	opti	0.46 126152
131	30602000	insertion	croissant	opti	0.84 240208
147	8852000	insertion	croissant	opti	0.24 70384
131	30602000	insertion	croissant	nonOpti	1.05 240264
151	3587000	insertion	croissant	opti	0.10 29240
151	3587000	insertion	croissant	nonOpti	0.12 29208
147	8852000	insertion	croissant	nonOpti	0.31 70296
142	18797000	insertion	croissant	opti	0.53 148040
142	18797000	insertion	croissant	nonOpti	0.64 148076
145	20098000	insertion	croissant	opti	0.53 158224
141	28808000	insertion	croissant	opti	0.79 226348
140	30443000	insertion	croissant	opti	0.85 239044
150	13341000	insertion	croissant	opti	0.38 105412
143	25758000	insertion	croissant	opti	0.71 202468
145	20098000	insertion	croissant	nonOpti	0.70 158300
148	18078000	insertion	croissant	opti	0.52 142368
150	13341000	insertion	croissant	nonOpti	0.45 105440
154	10823000	insertion	croissant	opti	0.30 85724
141	28808000	insertion	croissant	nonOpti	0.98 226288
140	30443000	insertion	croissant	nonOpti	1.04 239020
154	10823000	insertion	croissant	nonOpti	0.38 85796
148	18078000	insertion	croissant	nonOpti	0.60 142344
152	16102000	insertion	croissant	opti	0.45 126944
143	25758000	insertion	croissant	nonOpti	0.90 202448
160	5779000	insertion	croissant	opti	0.17 46376
152	16102000	insertion	croissant	nonOpti	0.55 127012
149	23569000	insertion	croissant	opti	0.65 185348
160	5779000	insertion	croissant	nonOpti	0.20 46392
163	2645000	insertion	croissant	nonOpti	0.08 21852
163	2645000	insertion	croissant	opti	0.07 21952
153	18418000	insertion	croissant	opti	0.54 145104
159	12181000	insertion	croissant	opti	0.34 96384
155	16869000	insertion	croissant	opti	0.48 132964
153	18418000	insertion	croissant	nonOpti	0.61 145120
166	2602000	insertion	croissant	opti	0.07 21544
166	2602000	insertion	croissant	nonOpti	0.08 21504
164	6727000	insertion	croissant	opti	0.18 53664
159	12181000	insertion	croissant	nonOpti	0.40 96276
149	23569000	insertion	croissant	nonOpti	0.79 185320
155	16869000	insertion	croissant	nonOpti	0.58 132976
164	6727000	insertion	croissant	nonOpti	0.22 53788
157	19115000	insertion	croissant	opti	0.51 150568
167	7157000	insertion	croissant	opti	0.19 57132
167	7157000	insertion	croissant	nonOpti	0.24 57088
157	19115000	insertion	croissant	nonOpti	0.65 150520
168	9470000	insertion	croissant	opti	0.26 75216
158	26930000	insertion	croissant	opti	0.76 211676
168	9470000	insertion	croissant	nonOpti	0.31 75172
162	21453000	insertion	croissant	opti	0.59 168816
171	7877000	insertion	croissant	opti	0.21 62752
171	7877000	insertion	croissant	nonOpti	0.26 62768
156	31669000	insertion	croissant	opti	0.89 248528
165	19872000	insertion	croissant	opti	0.55 156476
176	3850000	insertion	croissant	opti	0.11 31224
158	26930000	insertion	croissant	nonOpti	0.89 211604
162	21453000	insertion	croissant	nonOpti	0.72 168744
176	3850000	insertion	croissant	nonOpti	0.13 31224
161	26132000	insertion	croissant	opti	0.74 205404
156	31669000	insertion	croissant	nonOpti	1.07 248596
165	19872000	insertion	croissant	nonOpti	0.70 156536
177	6857000	insertion	croissant	opti	0.19 54740
161	26132000	insertion	croissant	nonOpti	0.88 205344
177	6857000	insertion	croissant	nonOpti	0.23 54704
181	5626000	insertion	croissant	opti	0.16 45100
181	5626000	insertion	croissant	nonOpti	0.18 45140
185	631000	insertion	croissant	nonOpti	0.02 6172
185	631000	insertion	croissant	opti	0.01 6144
170	23789000	insertion	croissant	opti	0.66 186984
169	28456000	insertion	croissant	opti	0.78 223548
183	7582000	insertion	croissant	opti	0.20 60476
170	23789000	insertion	croissant	nonOpti	0.81 186992
183	7582000	insertion	croissant	nonOpti	0.25 60348
175	22582000	insertion	croissant	opti	0.64 177612
186	6376000	insertion	croissant	opti	0.18 50948
172	26855000	insertion	croissant	opti	0.72 211040
173	25567000	insertion	croissant	opti	0.70 200916
186	6376000	insertion	croissant	nonOpti	0.22 51044
169	28456000	insertion	croissant	nonOpti	0.96 223448
179	18998000	insertion	croissant	opti	0.52 149556
178	21423000	insertion	croissant	opti	0.61 168552
175	22582000	insertion	croissant	nonOpti	0.74 177564
172	26855000	insertion	croissant	nonOpti	0.92 210944
174	28430000	insertion	croissant	opti	0.78 223396
184	13462000	insertion	croissant	opti	0.37 106352
173	25567000	insertion	croissant	nonOpti	0.86 200876
179	18998000	insertion	croissant	nonOpti	0.64 149556
180	22048000	insertion	croissant	opti	0.60 173480
184	13462000	insertion	croissant	nonOpti	0.46 106400
178	21423000	insertion	croissant	nonOpti	0.74 168612
189	8669000	insertion	croissant	opti	0.24 68872
189	8669000	insertion	croissant	nonOpti	0.29 68912
174	28430000	insertion	croissant	nonOpti	1.00 223296
195	2712000	insertion	croissant	nonOpti	0.09 22372
195	2712000	insertion	croissant	opti	0.06 22332
180	22048000	insertion	croissant	nonOpti	0.77 173536
188	15129000	insertion	croissant	opti	0.42 119328
199	179000	insertion	croissant	nonOpti	0.00 2584
188	15129000	insertion	croissant	nonOpti	0.54 119480
199	179000	insertion	croissant	opti	0.00 2628
194	8935000	insertion	croissant	opti	0.25 70948
182	28712000	insertion	croissant	opti	0.80 225560
192	12712000	insertion	croissant	opti	0.34 100500
194	8935000	insertion	croissant	nonOpti	0.30 70996
