test	taille	exe	exectime	memory	mmm
137	12367	ins	0.00 1368			1
137	12367	fus	0.00 1512	1		
137	12367	rap	0.31 2104		1	
138	23405	ins	0.00 1468	1		
138	23405	fus	0.00 1600	1		
138	23405	rap	1.13 2900		1	
139	4017	ins	0.00 1312	1		
139	4017	fus	0.00 1340	1		
139	4017	rap	0.04 1508		1	
140	2493	ins	0.00 1300	1		
140	2493	fus	0.00 1276	1		
140	2493	rap	0.01 1468		1	
141	11124	ins	0.00 1268	1		
141	11124	fus	0.00 1424	1		
141	11124	rap	0.25 2044		1	
142	7789	fus	0.00 1408	1		
142	7789	ins	0.00 1288			1
142	7789	rap	0.12 1816		1	
143	19256	fus	0.00 1596	1		
143	19256	ins	0.00 1404			1
143	19256	rap	0.76 2616		1	
144	4277	ins	0.00 1224			1
144	4277	fus	0.00 1348	1		
144	4277	rap	0.04 1492		1	
145	10945	ins	0.00 1284			1
145	10945	fus	0.00 1436	1		
145	10945	rap	0.24 2048		1	
146	3575	fus	0.00 1296	1		
146	3575	ins	0.00 1312	1		
146	3575	rap	0.02 1528		1	
147	11770	ins	0.00 1372	1		
147	11770	fus	0.00 1424	1		
147	11770	rap	0.29 2024		1	
148	7628	ins	0.00 1312	1		
148	7628	fus	0.00 1356	1		
148	7628	rap	0.12 1788		1	
149	28500	ins	0.00 1512	1		
149	28500	fus	0.00 1760	1		
149	28500	rap	1.67 3272		1	
150	17772	ins	0.00 1336			1
150	17772	fus	0.00 1560	1		
150	17772	rap	0.64 2484		1	
151	23654	fus	0.00 1556	1		
151	23654	ins	0.00 1444	1		
151	23654	rap	1.16 2900		1	
152	20193	fus	0.00 1556	1		
152	20193	ins	0.00 1344			1
152	20193	rap	0.83 2708		1	
153	25085	ins	0.00 1476			1
153	25085	fus	0.00 1676			1
153	25085	rap	1.30 3016		1	
154	25712	fus	0.00 1588	1		
154	25712	ins	0.00 1384			1
154	25712	rap	1.35 3080		1	
155	11348	fus	0.00 1532			1
155	11348	ins	0.00 1264			1
155	11348	rap	0.27 2020		1	
156	4389	ins	0.00 1264	1		
156	4389	fus	0.00 1380	1		
156	4389	rap	0.04 1432		1	
157	24180	fus	0.00 1620	1		
157	24180	ins	0.00 1468	1		
157	24180	rap	1.21 2980		1	
158	22710	ins	0.00 1304			1
158	22710	fus	0.00 1672	1		
158	22710	rap	1.06 2884		1	
159	19785	ins	0.00 1356			1
159	19785	fus	0.00 1548			1
159	19785	rap	0.80 2564		1	
160	5977	ins	0.00 1172	1		
160	5977	fus	0.00 1372	1		
160	5977	rap	0.07 1592		1	
161	2315	ins	0.00 1272			1
