test	taille	exe	exectime	memory	mmm
289	894000	rap	0.32 8192		1
290	742000	fus	0.16 12860	1	
290	742000	rap	0.24 7060		1
291	116000	rap	0.02 2188		1
291	116000	fus	0.02 3080	1	
292	202000	rap	0.04 2780		1
292	202000	fus	0.04 4512	1	
293	755000	fus	0.17 13040	1	
293	755000	rap	0.24 7172		1
294	730000	fus	0.16 12692	1	
294	730000	rap	0.23 6888		1
295	702000	fus	0.17 12252	1	
295	702000	rap	0.22 6620		1
296	338000	fus	0.08 6596		1
296	338000	rap	0.08 3900		1
297	176000	rap	0.03 2652		1
297	176000	fus	0.04 4100	1	
298	340000	fus	0.09 6592	1	
298	340000	rap	0.10 3840		1
299	139000	rap	0.02 2288		1
299	139000	fus	0.03 3460	1	
300	374000	fus	0.08 7128	1	
300	374000	rap	0.09 4212		1
301	753000	fus	0.16 13028	1	
301	753000	rap	0.24 7164		1
302	972000	fus	0.23 16476	1	
302	972000	rap	0.36 8884		1
303	138000	rap	0.02 2264		1
303	138000	fus	0.03 3388	1	
304	755000	fus	0.17 13056	1	
304	755000	rap	0.24 7084		1
305	209000	rap	0.04 2812		1
305	209000	fus	0.04 4504	1	
306	697000	fus	0.15 12176	1	
306	697000	rap	0.22 6632		1
307	146000	rap	0.03 2396		1
307	146000	fus	0.03 3520	1	
308	526000	fus	0.11 9536	1	
308	526000	rap	0.14 5392		1
309	96000	rap	0.01 2008		1
309	96000	fus	0.02 2736	1	
310	59000	rap	0.00 1720		1
310	59000	fus	0.01 2276	1	
311	55000	rap	0.00 1692		1
311	55000	fus	0.01 2104	1	
312	951000	fus	0.22 16104	1	
312	951000	rap	0.34 8716		1
313	824000	fus	0.19 14148	1	
313	824000	rap	0.28 7672		1
314	46000	rap	0.00 1636		1
314	46000	fus	0.00 2008	1	
315	571000	fus	0.14 10180	1	
315	571000	rap	0.17 5592		1
316	572000	fus	0.13 10208	1	
316	572000	rap	0.17 5708		1
317	228000	rap	0.04 2964	1	
317	228000	fus	0.05 4848	1	
318	20000	rap	0.00 1416	1	
318	20000	fus	0.00 1636	1	
319	584000	fus	0.13 10364	1	
319	584000	rap	0.17 5692		1
320	821000	fus	0.19 14072	1	
320	821000	rap	0.27 7652		1
321	902000	fus	0.20 15332	1	
321	902000	rap	0.32 8252		1
322	454000	fus	0.10 8380	1	
322	454000	rap	0.12 4728		1
323	728000	fus	0.16 12692	1	
323	728000	rap	0.23 6880		1
324	840000	fus	0.27 14364	1	
324	840000	rap	0.37 7832	TriFusion	1
325	561000	fus	0.13 10044	1	
325	561000	rap	0.16 5512		1
326	673000	fus	0.16 11808	1	
326	673000	rap	0.21 6516		1
327	898000	fus	0.21 15212	1	
327	898000	rap	0.31 8300		1
328	463000	fus	0.10 8488	1	
328	463000	rap	0.12 4824		1
329	123000	rap	0.02 2140		1
329	123000	fus	0.02 3188	1	
330	436000	fus	0.10 8048	1	
330	436000	rap	0.11 4536		1
331	471000	fus	0.10 8600	1	
331	471000	rap	0.13 4864		1
332	60000	fus	0.01 2228		1
332	60000	rap	0.00 1760		1
333	368000	fus	0.08 7072	1	
333	368000	rap	0.09 4164		1
334	559000	fus	0.16 9992	1	
334	559000	rap	0.20 5596		1
335	813000	fus	0.19 14020	1	
