test	taille	exe	exectime	memory	mmm
139	21753	ins	0.34 1368			1
140	25602	rap	0.00 1440			
140	25602	fus	0.00 1664	1		
140	25602	ins	0.48 1484			1
141	32541	fus	0.00 1804	1		
141	32541	rap	0.00 1520	1		
141	32541	ins	0.78 1508			1
142	19804	fus	0.00 1552		1	
142	19804	rap	0.00 1328		1	
142	19804	ins	0.29 1412			1
143	3386	rap	0.00 1300		1	
143	3386	fus	0.00 1308		1	
143	3386	ins	0.00 1224			1
144	2656	fus	0.00 1280		1	
144	2656	ins	0.00 1300			1
144	2656	rap	0.00 1292		1	
145	14917	rap	0.00 1316	1		
145	14917	fus	0.00 1592	1		
145	14917	ins	0.17 1312			1
146	14578	fus	0.00 1480	1		
146	14578	rap	0.00 1384	1		
146	14578	ins	0.16 1392			1
147	17220	fus	0.00 1536	1		
147	17220	rap	0.00 1332	1		
147	17220	ins	0.22 1316			1
148	13506	fus	0.00 1464		1	
148	13506	rap	0.00 1392		1	
148	13506	ins	0.13 1388			1
149	13026	rap	0.00 1364	1		
149	13026	fus	0.00 1444	1		
149	13026	ins	0.12 1280			1
150	7134	rap	0.00 1308	1		
150	7134	fus	0.00 1404	1		
150	7134	ins	0.04 1340			1
151	19619	fus	0.00 1496		1	
151	19619	rap	0.00 1336		1	
151	19619	ins	0.28 1352			1
152	32131	fus	0.00 1816		1	
152	32131	rap	0.00 1424		1	
152	32131	ins	0.76 1476			1
153	21356	rap	0.00 1420		1	
153	21356	fus	0.00 1592		1	
153	21356	ins	0.33 1440			1
154	3137	rap	0.00 1216	1		
154	3137	fus	0.00 1404	1		
154	3137	ins	0.00 1320			1
155	14673	fus	0.00 1536		1	
155	14673	rap	0.00 1236		1	
155	14673	ins	0.16 1376			1
156	4	ins	0.00 1208	1		
156	4	rap	0.00 1184	1		
156	4	fus	0.00 1224	1		
157	8033	fus	0.00 1408	1		
157	8033	rap	0.00 1256		1	
157	8033	ins	0.05 1344			1
158	20968	rap	0.00 1456	1		
158	20968	fus	0.00 1616	1		
158	20968	ins	0.34 1444			1
159	25086	rap	0.00 1472	1		
159	25086	fus	0.00 1712	1		
159	25086	ins	0.46 1448			1
160	11118	rap	0.00 1336	1		
160	11118	fus	0.00 1492	1		
160	11118	ins	0.09 1372			1
161	17553	rap	0.00 1428		1	
161	17553	fus	0.00 1636		1	
161	17553	ins	0.23 1392			1
162	15684	rap	0.00 1296	1		
162	15684	fus	0.00 1484	1		
162	15684	ins	0.18 1412			1
163	27203	rap	0.00 1472		1	
163	27203	fus	0.00 1612	1		
163	27203	ins	0.55 1408			1
164	31389	rap	0.00 1424	1		
164	31389	fus	0.00 1776	1		
164	31389	ins	0.72 1532			1
165	26143	rap	0.00 1408		1	
165	26143	fus	0.00 1700	1		
165	26143	ins	0.50 1472			1
166	5083	rap	0.00 1328	1		
166	5083	fus	0.00 1332	1		
166	5083	ins	0.02 1292			1
167	12827	rap	0.00 1372		1	
167	12827	fus	0.00 1460		1	
167	12827	ins	0.12 1388			1
168	17462	rap	0.00 1324		1	
168	17462	fus	0.00 1520		1	
168	17462	ins	0.22 1416			1
169	17096	rap	0.00 1416		1	
169	17096	fus	0.00 1512	1		
169	17096	ins	0.22 1416			1
170	26380	rap	0.00 1460		1	
170	26380	fus	0.00 1724	1		
170	26380	ins	0.52 1484			1
171	22925	rap	0.00 1372		1	
171	22925	fus	0.00 1544		1	
171	22925	ins	0.39 1308			1
172	22398	fus	0.00 1604	1		
172	22398	rap	0.00 1352	1		
172	22398	ins	0.38 1336			1
173	20881	fus	0.00 1640	1		
173	20881	rap	0.00 1360		1	
173	20881	ins	0.33 1416			1
174	13165	rap	0.00 1276		1	
174	13165	fus	0.00 1440	1		
174	13165	ins	0.13 1284			1
175	19594	fus	0.00 1548	1		
175	19594	rap	0.00 1408	1		
175	19594	ins	0.28 1384			1
176	7641	rap	0.00 1340	1		
176	7641	fus	0.00 1360	1		
176	7641	ins	0.04 1340			1
177	14875	fus	0.00 1504		1	
177	14875	rap	0.00 1312		1	
177	14875	ins	0.18 1288			1
178	17967	rap	0.00 1440	1		
