test	taille	exe	exectime	memory	mmm
123	24000	ins	0.42 1464			1
124	21000	fus	0.00 1652	1		
124	21000	rap	0.00 1348	1		
124	21000	ins	0.32 1444			1
125	33000	fus	0.00 1832	1		
125	33000	rap	0.00 1488		1	
125	33000	ins	0.78 1540			1
126	6000	fus	0.00 1368		1	
126	6000	rap	0.00 1220		1	
126	6000	ins	0.02 1264			1
127	31000	rap	0.00 1368		1	
127	31000	fus	0.00 1720	1		
127	31000	ins	0.69 1364			1
128	19000	fus	0.00 1540	1		
128	19000	rap	0.00 1348	1		
128	19000	ins	0.26 1376			1
129	23000	fus	0.00 1664	1		
129	23000	rap	0.00 1412	1		
129	23000	ins	0.38 1360			1
130	56000	rap	0.01 1616		1	
130	56000	fus	0.01 2160	1		
130	56000	ins	2.24 1640			1
131	30000	rap	0.00 1492	1		
131	30000	fus	0.00 1724	1		
131	30000	ins	0.64 1436			1
132	56000	fus	0.01 2192		1	
132	56000	rap	0.01 1620		1	
132	56000	ins	2.25 1624			1
133	52000	fus	0.01 2056	1		
133	52000	rap	0.00 1660		1	
133	52000	ins	1.92 1604			1
134	21000	rap	0.00 1428	1		
134	21000	fus	0.00 1608	1		
134	21000	ins	0.32 1456			1
135	31000	fus	0.00 1764	1		
135	31000	rap	0.00 1520	1		
135	31000	ins	0.69 1368			1
136	10000	rap	0.00 1304		1	
136	10000	fus	0.00 1432		1	
136	10000	ins	0.07 1308			1
137	29000	rap	0.00 1480	1		
137	29000	fus	0.00 1744	1		
137	29000	ins	0.60 1492			1
138	8000	rap	0.00 1244	1		
138	8000	fus	0.00 1356	1		
138	8000	ins	0.04 1320			1
139	43000	rap	0.00 1580		1	
139	43000	fus	0.01 1908	1		
139	43000	ins	1.33 1588			1
140	3000	fus	0.00 1288	1		
140	3000	rap	0.00 1220	1		
140	3000	ins	0.00 1280			1
141	5000	rap	0.00 1304			
141	5000	ins	0.02 1308			
141	5000	fus	0.00 1312			
142	16000	rap	0.00 1244		1	
142	16000	fus	0.00 1564	1		
142	16000	ins	0.19 1348			1
143	41000	fus	0.00 1996	1		
143	41000	rap	0.00 1612		1	
143	41000	ins	1.21 1596			1
144	14000	fus	0.00 1500	1		
144	14000	rap	0.00 1376	1		
144	14000	ins	0.14 1340			1
145	51000	rap	0.01 1668		1	
145	51000	fus	0.01 2120	1		
145	51000	ins	1.87 1576			1
146	7000	rap	0.00 1308	1		
146	7000	fus	0.00 1380	1		
146	7000	ins	0.04 1276			1
147	19000	fus	0.00 1656	1		
147	19000	rap	0.00 1428	1		
147	19000	ins	0.26 1404			1
148	50000	fus	0.01 2096	1		
148	50000	rap	0.00 1676		1	
148	50000	ins	1.79 1516			1
149	49000	fus	0.00 2008	1		
149	49000	rap	0.00 1660		1	
149	49000	ins	1.72 1664			1
150	13000	rap	0.00 1296	1		
150	13000	fus	0.00 1476	1		
150	13000	ins	0.12 1372			1
151	3000	fus	0.00 1300		1	
151	3000	rap	0.00 1256		1	
151	3000	ins	0.00 1220			1
152	27000	fus	0.00 1692	1		
152	27000	rap	0.00 1500		1	
152	27000	ins	0.52 1432			1
153	58000	rap	0.01 1580	1		
153	58000	fus	0.01 2180	1		
153	58000	ins	2.41 1732			1
154	52000	rap	0.00 1608	1		
154	52000	fus	0.01 2124	1		
154	52000	ins	1.93 1692			1
155	51000	rap	0.01 1632		1	
155	51000	fus	0.01 1976	1		
155	51000	ins	1.86 1600			1
156	35000	fus	0.00 1728	1		
156	35000	rap	0.00 1544		1	
156	35000	ins	0.89 1448			1
157	25000	fus	0.00 1644	1		
157	25000	rap	0.00 1476	1		
157	25000	ins	0.45 1380			1
158	30000	rap	0.00 1420	1		
158	30000	fus	0.00 1652	1		
158	30000	ins	0.64 1520			1
159	53000	rap	0.00 1708	1		
159	53000	fus	0.01 2116	1		
159	53000	ins	2.00 1596			1
160	44000	fus	0.00 2000	1		
160	44000	rap	0.00 1540	1		
160	44000	ins	1.40 1600			1
161	38000	rap	0.00 1568		1	
161	38000	fus	0.00 1860		1	
161	38000	ins	1.04 1468			1
162	1000	rap	0.00 1132			1
162	1000	ins	0.00 1260			1
162	1000	fus	0.00 1324			1
